Indicators,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Output of Tea(10000 tons),30.37,34.26,39.73,40.05,41.41,43.23,46.05,50.8,54.54,53.49,54.01,54.16,55.98,59.99,58.85,58.84,59.3,61.3,66.5,67.6,68.33,70.17,74.5,76.81,83.52,93.49,102.81,117.05,125.48,135.06,146.25,160.76,176.15,188.72,204.93,227.66,231.33,246.04,261.04
Output of Bananas(10000 tons),6.13,12.63,20.12,20.66,29.99,63.1,125.11,202.95,182.97,140.37,145.59,198.12,245.1,270.07,289.78,312.5,253.6,289.2,351.8,419.4,494.15,527.24,555.7,590.33,605.61,651.81,690.12,763.95,748.43,829.65,884.1,946.07,1035.98,1103,1062.15,1062.7,1094.03,1116.98,1122.17
Output of Apples(10000 tons),236.31,300.57,242.96,354.11,294.12,361.41,333.68,426.38,434.44,449.89,431.93,454.04,655.58,906.96,1112.9,1400.77,1704.7,1721.9,1948.1,2080.2,2043.12,2001.5,1924.1,2110.18,2367.55,2401.11,2605.93,2734.72,2899.46,3047.49,3164.91,3367.28,3581.36,3629.81,3735.39,3889.9,4039.33,4139,3923.34
Output of Citrus(10000 tons),71.26,79.75,93.89,129.64,149.88,180.83,254.8,322.38,256,456.11,485.49,633.25,516.01,656.1,680.54,822.5,845.7,1010.2,859,1078.7,878.31,1160.69,1199,1345.37,1495.83,1591.91,1789.83,2036.4,2296.96,2471.73,2581.74,2864.12,3089.43,3196.39,3362.18,3617.53,3591.52,3816.78,4138.14
Output of Pears(10000 tons),146.63,159.34,175.53,179.51,209.99,213.68,234.76,248.9,272.12,256.5,235.28,249.78,284.61,321.71,404.29,494.24,580.7,641.5,727.5,774.2,841.24,879.61,930.9,979.84,1064.23,1132.35,1198.61,1258.81,1296.41,1343.56,1409.48,1448.56,1550.44,1544.41,1581.91,1652.74,1596.3,1640.97,1607.8
Output of Grapes(10000 tons),11,14.75,18.59,24.71,29.39,36.14,44.16,64.09,79.22,87.42,85.85,91.59,112.51,135.48,152.21,174.17,188.31,203.28,235.82,270.81,328.17,368,447.95,517.59,567.53,579.44,627.08,670.89,698.24,764.88,813.53,857.69,1000.59,1088.46,1173.1,1316.41,1262.94,1308.29,1366.68
Output of Pineapples(10000 tons),7.52,9.05,13.44,12.46,13.2,18.32,30.27,41.16,48.52,51.1,46.25,42.92,44.17,45.47,48.5,53.94,49.28,52.73,64.49,88.26,85.65,86.9,82.73,82.19,80.83,84.89,89.07,89.17,90.72,99.94,101.84,111.29,119.16,127.17,129.74,133.85,139.95,149.48,162.5
Output of Red Dates(10000 tons),37.16,39.78,42.61,38.73,43.94,43.2,54.46,57.15,52.01,45.44,42.32,44.94,48.82,52.29,65.02,78.21,77.85,93.61,110.36,110.34,130.6,130.86,157.37,171.87,201.12,248.85,305.29,291.2,352.19,405,422.49,505.41,544.09,581.52,643.69,713.45,685.08,721.26,735.76
Output of Persimmons(10000 tons),56.04,50.55,48.24,55.31,60.8,67.99,65.57,76.06,73.29,65.03,62.48,64.16,72.43,78.91,82.69,96.94,102.52,107.54,131.41,148.13,159.19,158.47,174.06,179.51,199.82,218.5,232.03,247.87,254.85,260.33,258.91,276.86,291,287.87,295.56,294.96,296.73,302.9,314.26
Output of Garden Fruits(10000 tons),679.25,780.09,771.29,948.71,984.53,1163.95,1347.75,1667.92,1666.1,1831.93,1874.42,2176.13,2440.09,3011.22,3499.82,4214.63,4652.82,5089.32,5452.85,6237.64,6225.15,6658,6951.98,7551.52,8394.13,8835.5,9599.22,10374.42,10898.85,11614.09,12285.15,13201.84,14196.74,14675.17,15171.36,16200.91,16202.91,16949.36,17565.27
Output of Rice(10000 tons),13990.5,14395.5,16159.5,16886.5,17825.5,16856.9,17222.4,17441.6,16910.7,18013,18933.14,18381.3,18622.2,17751.4,17593.3,18522.6,19510.27,20073.48,19871.3,19848.73,18790.77,17758.03,17453.85,16065.56,17908.76,18058.84,18171.83,18638.11,19261.22,19619.67,19722.57,20288.25,20653.23,20628.56,20960.91,21214.19,21109.42,21267.59,21212.9
Output of Early Rice(10000 tons),4914,4953.5,5306,5076.5,5330.5,4880.7,4961.9,4766.9,4701.4,4798.4,5057.5,4624.9,4648.7,4115.1,4086.2,4222,4398.2,4577.62,4052.3,4096.66,3751.9,3400.27,3028.97,2948.25,3221.65,3187.25,3139.78,3141.76,3119.03,3293.26,3090.1,3189.76,3229.89,3275.81,3243.05,3207.25,3102.57,2987.16,2859.02
Output of Wheat(10000 tons),5520.5,5964,6847,8139,8781.5,8580.5,9004,8776.8,8543.2,9080.7,9822.9,9595.3,10158.7,10639,9929.7,10220.7,11056.9,12328.9,10972.6,11388,9963.58,9387.3,9029,8648.8,9195.18,9744.51,10846.59,10949.15,11290.13,11579.61,11609.34,11856.95,12247.49,12363.93,12823.52,13255.52,13318.83,13424.13,13144.05
Output of Corn(10000 tons),6260,5920.5,6056,6820.5,7341,6382.6,7085.6,7982.2,7735.1,7892.8,9681.9,9877.3,9538.3,10270.4,9927.5,11198.6,12747.1,10430.87,13295.4,12808.63,10599.98,11408.77,12130.76,11583.02,13028.71,13936.54,15160.3,15512.25,17211.95,17325.86,19075.18,21131.6,22955.9,24845.32,24976.44,26499.22,26361.31,25907.07,25717.39
Output of Millet(10000 tons),544.5,576.5,658,754,702.5,597.7,454,453.8,441.2,375.3,457.5,342.4,331.7,399.9,369.6,301.9,357.3,231.2,312.02,231.78,212.52,196.69,217.56,194.07,181.26,178.34,163.94,152.13,124.73,125.55,161.88,173.73,177.47,177.64,197.24,211.95,233.02,254.79,234.18
Output of Jowar(10000 tons),677.5,665,698.5,835.5,771.5,560.9,538.4,542.8,559.4,443.5,567.6,494.3,467.1,551.1,633.3,475.6,567.49,363.82,408.57,324.14,258.24,269.66,332.69,286.19,232.72,254.64,218.19,174.91,174.88,150.34,193.31,189.16,198.96,242.95,249.98,220.25,223.45,246.49,290.94
Output of Soja(10000 tons),794,932.5,903,976,969.5,1050,1161.4,1218.4,1164.5,1022.7,1100,971.3,1030.4,1530.7,1599.9,1350.2,1322.42,1473.15,1515.18,1424.53,1540.9,1540.56,1650.54,1539.32,1740.15,1634.78,1508.18,1279.34,1570.9,1522.42,1540.99,1487.85,1343.59,1240.71,1268.57,1236.74,1359.55,1528.25,1596.71
